6:a_a_7a__aa_3a_3a_aba_b__aa_3a__a3,s1m10a7m6d2a7m12d2a7m72s3s3d3s2s1a7d2
6:a3_aa__aa_aa__b__aa_3a_4aa_3a_6a__,s2d2a8s1d3s2s4s2a7d2m5m24m20m12m5a9d3a6
6:_aa__aa_3a3__a_aaca_a_a_a_3a_5b_a_,m60s4s2a8m12a7m108a5d3a5s1m6a7m60s1
6:_a_aa_3a_3a__a_3a_ac_10ca_a5,a17d2m12m40s4a3d3d3a9m30a7d2s2s1s1m12
6:__aa_a_a_10a_aa_a_aa_a__a_3a__abab,s1a6s1s1s2d2m6d3a8a6a9d3m30m30d3m24d2
6:aa_aa_a_9a5__a__a_3a_3a_aa_ba_,s2m6s1m24a5m10m24a8d3s2a6m10s2d3d3a5s2
6:_a_aa_ba_a_6a_a3__a__a_3aa_a__a_3aa,s1m24s1d2a9d3m4s1m30m20a15d2a7s4d2s3a7
6:a_a_10a_4aa_baa_aa__aa__aa_b_a3,a6d2m6s1m6s1d3a11m20d2a7a11s4d3m90m48
6:_aa_3a_4a_aa_3b__bb_c_a_a_aa_4a_4,d2s2d2s1m72s2s1a14a12d2m6d2m6a7m8a8
6:aa_3a_5b__a3_aa_a_aa_4a_3a_a_3a__a,a6d3s1d3s1m6m24a6s2a8m24d2a5d2m24s1d2s4
6:__a_10a_3ab_aa_ba3__aa_b_a__b__a,a12d2d3s1m3s1a10m6a5d3a9m4d2m30s4s1
6:_a_aa_a3__a_6a_3ab_3a_4b__a__b_aa,a7d2a7m24s2m6m30m12s1d2d2d2a6s4s3s2a8
6:_a_7a_11a3_a_a_aa_a4_aabaa,d3s2s3m10d3m24s2a5m12a6d3d2s4a12s1m15a8
6:_a_10aa_3a_3ba3__a_3a3_aa_a4,s2d2m24d3m20a9s2a14a8d2s2d3s1m10a9m60d2
6:_3a_5a__a_9a_aa_aa_a6_a5,d2a8d3m6s2s1a17s4s2d2s2m5d2a7a7m4m6
6:a__b_aa__ba_3a_3b_4a_3ba_b_5a_ab,s1a6a13d2s1a15d3m120m8s1m18d3s4d3m40
6:b__a_7a_7a__aa_aa_a6_a_aa_a_,a14a5d2m6a6s1s3d2s4m6m6m120a7d2d3d3s4
6:aa_3a_16aa__aa_aa__a6baa,d3s3m4a8s1d3a10d2s1a7d2m4a6m144s1m5s2
6:a4_4a__a_aa_c_a3__a_7baa__aa__,d2s4m24d2m24a15s1m15m12a8a6s1s4a7d2
6:__a_10ab__a_3a_bac_3a_3a_b_aa_a_,m4m120s3a5a7d2d2m30s4m18m4d3s1a7a7s3s1
6:aab_10a3_aa_a_aa_a__a_3a_aa_3a_3,a9m6s1m2d2s1a8m6d2s1a6d2a5s1d3s4m15m24
6:_aa__a__a__a__a__a_aab_a3_3a__a__a__a3,m60s2a6a5a6s2s3d2m24m8m5d3a5s1s2m6
6:ab_3a_3a3_3a__aa_a_aa_aa_10a4,s2m24a7a5m3a6d3m15s2a8s4d2s3m72d2d3s1
6:__aa__aa_aa_3a_3a_3a_3a_3a3__b_abaa,a11a5m96a6s4m4d3m60s1d3m18a6s3d2d2s1
6:b_aa_3a__a_3a_3a__aa_10ca4_aa_,a13a4a5s2m10d2m6s4s2d2m72s1s1d3m10a7d2
6:__a__a_3a_ba_3a_3ac_b__a_5a__a_aa_a_,m6a10d2m6s1a6d3a8m30s3m6s4s2m15d3a7s3
6:a_a_13a_4b__a3_a6_aa__aa__,s4s1s1a6a9m6s1m12d2m6m10m12a6d3d3d2s2a6
6:aa_aa_a__b__a_3a_3a_3a_3a_aa_ab_3a_4,m18s3m6s1d2d3a6s2d2d3a7a7a5s1s2m6m10d3
6:aa_a_4a_5a_3a_aa__aa__aa_a_a__aa_a3,a7m120s3m4d2m18s1d3a12a8m4s1s1d2s2d3a5
6:aa__a_3a_a__a_4b__a3_3a__a3_b_3aa__,m3d3d2m30a7s1s4m120a6d2a6s1a7s1s2m8m5
6:_aa_a4b_10a_a__a_3a__a_3a_3c_b,d3s4d2m30m12d3s1s1m4d3a8s1m90a6d2a5a7
6:ac_3a_4a_4a_3a_3a_aa_3aa_ba_aa_aa,d3a13a6s2m30a14d2s1a7m20m12d3m8d3s2s1
6:a__aa_3a__a__b_4a_aa_a_4a_a6_a_a,s3m12s2d2m15s3a7a6s4d3d2m120m60a5a6m20
6:_a_a_3a_4a_a_a_aa_c_aa_3b_b_a_a_3a__,a12s3a8s3s2a9d3a12m24d2m15m4m18d3s3s3
6:__a_3a_3aa_11a_aabaa__a_3a3b_b,a6a5s1d2m12m24m6a9d2m18s2d2m60s2a7s1d3
6:aa_a_7a__a_7aa_aa_a4_a_b__b_a_,a5s2m12m6s2d2s2a7d2a6s1d3a7m6d2m8m75
6:__aa_ab_11cab_aa_a__b__a_3a_3a__,d2a6d2d2d2m20a8a9m24d2s4m3s4m30s2a6s1
6:a__b__a3_3a__a__aa__aa__a3_a_6a__aa,a5a7d2s2d2m6s3m54d2s2m6a10d2d2s3m5a7
6:_aa_a3__a_6a_aabb_3a__a_3a_4aa_a_,s2s2d3s4d2d3m6m24s1a7a5a9d3a6s1m4m6
6:_3a_3aa__a_6a_aabab_a3_3a_4aa_a_,m3a9d3s1s3m6m72d3a9s2m6d2a5m20s1d2a9
6:a_3a_3a_a_3a_5a_6a_3a3b__b__baa,a9a9s3s3a5m6a8d3m6m4m4d2a8d3m6s2s1s3
6:a_aa_4a_12ab__b_3aa_a_aa_a5,d2d3m12s1d3d3m20a14s4a7d2s1a8m6a5s2m10
