6:a_3a_5a3_b_3a_a__a_3a_a__b_aa__b__a,a7a6m12d2a7m18s4m24s3d3m12s2a5d2m15s1d3
6:_a_a_a__aa_3a__aabba4_3aa_4a_3aa_,s4s4m60d3m10m144d2s1a5a10a7m90d3a12d2
6:a__a_16a__aa_ba5_aa__aa_ab,d3m24a7s3m8s3d2s3s2m10s2a9m36m30d3a5a5
6:a4_a_3ba_a_3a__aa_4a_a4_a__a_3a_,s3a11a7s4d2d3m54a15s1a7m6d2s3d3m24m5
6:abaa_c_10baa__a__aa__a_3a_a4__,s1m10d2m6d2s1m150s3a6d2a9a6m18d3s1
6:a__a_6a_5a_3a9_aa_a_a_3a_a,a10d2a5m6a8m10m24d3d3s2s4s3s3m12a14m8s2
6:b_c_a__a__a3__aa__aa__a_3a_a__a_3a_aa,m24s1m6a16a5d2m15d3a12s1d2a5s2m5s1
6:aa_3a_4a_3a_3a_3a_bbaa_aa_4a_3a3,m24m6d3a7m15s2s1s1d2d2s2m24d2a5a8a5s1
6:a4_3a_a_aa_4a_a_aa_3a_4a3_a_b__a,d2m30a13d2m5s2a9m6m15s2a6s1s1a4d2s1
6:__aa_3b_12bab_aa_a6__a_3a__,s4m6m144d2a8a9d2s3d3d2s2m5a6a5m18d2s1
6:aa_a_a_3b_3a_7a__aa_abaa__aa__b__a,s2a11m108a5d2a7s2d3m10d2s1m6s3s2m24a8
6:b_a_a__a_6a__aa_a_aa_aa_3ca__a_3a_a,m12m8s1s4a16m3d2d3a8d2a12s1m30a7d3s1
6:a__aa_aa_aa_babb_aa_5a_3aa_a_3a__a,s1m2s3a19s2m12d2d2m24d3a9s4m6d3a12
6:aab_3a_13a__a_aa__a_abbaba3_,d2m6s2s2d3a9m60a5m25d2a11s2m54s1a6
6:_a3_10b_a_a6_a__a_3aa_a__a3,m25m24a5s3s1d2s1d2a6a8m120m8d2a9s4s1
6:_3a_3a3_12a3_c_aa_a_3a__abaa,s4d2m15s1m6m5s4d2d3a7a8s2d2m6a11a7m6
6:a_b__a3_5a_4c_a_a_a3_a_3a__a3_a,m120s1a6m3a7d2a7m108s3d2s1m6s3s4a14
6:b_3a_3a4_aa_aa__a_12a_3a_caa,a9d2s2m6m3a7m12a8d2s2d3a8s3m24s2s3d2
6:bc_a_3a__a_aac_a_a_3a__a_6a__a_b__,a10m24d2s1s2m8s4d3d2m12a9a7m48a8s3
6:__a_6a__aab_a_aa_a_aa__aa_3a__a__b__a,d2a5m6s1a9d3d2m15s2s2a8m15m20a8m6s1s2
6:__a_3a_3a__a_b_3aa_ba3_5a__a3c_a,m120d2s1m24a6s3a16d3m25m30a6a12s1s2s2
6:a__b__b_3a_5a_3aa_3a_3ba_aa__aa__aa,m12s3s3d3s1m15m2d3d2a9a5s3m10d2a9a7d3
6:a_aa_5a_3aa__a_ab_a5__aa_3a__ba_,a7d3s3a15a11m48d3a5d2s1m12s3m150s1m6
6:a3_3a__a_5a_3ba3__b__a3_a_3a__aa,a11m18s1m8a7s4s2d2d2m12a7s2m30d2a15d3
6:aa_6a_13aa__a3_a_aa_a4baa,m40d3s1d2m2d2a6a7s3d2s2m20a7a5m4s2s3
6:_b_a_7a_11ba3_a4_bb_aa_b,m24m24m10d2a5a12s2m6s1s3s1m8d3a6a14
6:aabab_a_7a_aa_4a_3a__a_3a_4b_aa,d2m6m15a7d3m5s2s1a8d3d3a7m72s1s3a6s1
6:_aa_a_3a__a_3a_aabb_10a3__a5,m12s2a9a7m10s1d3s3d3d2a6m36a7s4m15m48
6:ab_4b_a_a_3a__aa__a3_4a_3aa_3caa,a12a12m3m36d2m30s3s1a6s3m60d2s2m6a5
6:a_a_a_3a_a_3a_a3_aba__a3_a4__a_4,s2m6m12s1m10m16a15a8d2s1a7a13d3s1m6
6:_ab_9a_3a_3a__c_3a_3bba4_aa_,a7d3m60s1m24a8d2d3a11d2s1m3s1m12s4a5
6:_aa_a_9a_aa_aa_aa_3a__a_3a__aabaa,d2a8m25a6m48d2s3s4s1m18m6s2s2d3a6d3a6
6:_a_a_9a3__a__aba3_a3b_3a_3aa_,s4s1a11m6d3a6m10s1m24m96a8d2s4d3a7s2
6:__b_6a_13a4b_a_a10,m30s1m10a6m12s2d2m15d2s1a5d2d3a16a6s1
6:a_aa_a4_3a_4aa_4a__ab_a_3a_4b__a,m20m3d3m6s3a7a6s2a7s3s1a8d3m108d2s1d2
6:aab_3b_5a_3b__b__b_ab_ba_3a__aa__,d2a6a16s3s1a9m360d2m30m30s2a7m40m12
6:_a_7aaba_9aa__aa_aa_b__b_aa_b,s2s4d2d2d3m10a9s1s1a5a6m48a8s2m6m30
6:_3b__ba_3a_3a3bbaa_3a_5a_3a_3aa,m90d2s3a15m36s1a7s1s2a5d3d2d2m30a7m12
6:_aa_a_3a_a_a_10baa__b_3aa_a4_a_,s2a7a8d2s3s3m50d2m6a10m24s3d2m6s3m5a7
6:b__a_4a_3a__a__a3__aa_4a__bbaa_a3,m300d2a7s2d3d2m12m120a8s2s4m144a9a4s2
6:_3a_3a_aa_a3_3a_3aa_a_3a__a_3a__caa,s1s1m20m24a7s2s2m5d2a5a9a9m5d3d2m20s1
6:a_aa_4a_3a_10a__aa_3b__a5baa,s1a7a8a7s2s3d3m30m6m10d2s2d2m4s1a14m6
6:a_a_13a_3a_3a_acaba3__aa_a3,a13s2m36m6s4a5m6s2a7d2m36a7d2m24a8s1
6:cc_10b_a_3a_3aa_aa_a__a_3a_aa_a,m24s1a10m6s2s1d2m30d3a8s1a5m24d3s3a5
6:_a_3a__a_aba__a_3a_a__a_3a_a_a_3a__baa,d3m24m4a7d3s2d2a9s1m8a9a9d3d2m6s1s1
6:aa__a__aab_7a_3aba_aa__cab_a3__,a6m60a5s1m576m4m15a13a6m40s3d2s2s4
6:_aa_21a__a5_a6caa,m20m4a7m6s1s4s2d2a7a7s1d2m15d2s1a7d3
6:__aa_5a_3a_10cab__aa_a8_,a6d2d2m32m90a7s4m6a7s2a7d3s2s1d2m45
6:aa_10ab_3a_a9_3a__a_aa_a_,m96a8d2s4d2d3a7a12a9s1m24s1m18m5m6s1
6:_a_14a_3a__aca4_a__b__baab_,a8s4m8m120a8d3s2s2a9m20a5d3d2s2s3m40
6:ba_4a_3aa_a__aa_a_aa_a_aa_a3_5a__a,a13a7a9m15s2d2s1m5d2s1m180m6m12s2a7s3
6:__a__a_3a_b_5a__acab__a_a__a4b_a_,s3m144s4a7s1s1a11m75a9m48s4m15m8a16
6:__a__a_3a_a_aa_3b__bab_a_4aa_b_3a_4,s1a14s1d3m3d2s3a6a7d3m2a9m80m3d2s1d2
6:__aa__aa_aa__b__caa_3a_4aa_3a_6a_a,a9s1d3d3d2a6d2d3s1a5m30s1m15s4a6m24m30
6:ab_a_4a_4a_b_aa__aa__a_4a_a_3a_baa,s3m72m6a9s1m8s4m24a8a7m45d3s2d2a5s4
6:a4_4a__a_a__aa_a_aa__b_4a3_a__a3,s1m30a4s4d3m24s2a19m60a5m18d2s1a7s1
6:a__a_13a_5aabba4bb_a_aa_a,m450d2s1d2d2m30d3s1a12m8s2a7m54a5s1
6:_ab_4a_3a_a_3a__ab__b__a3_a_3a_3aa_,s3m36m10a5d3m15s1a7s1a5d2s3d3a6m12s1d2
6:a__a_3a__a_a_3a__bbaa_a__aa_a_a_3a_aa_,s1d3s1s4a5d2m6a13d2m10d3a8m24s3m12a12
6:a_4a_3a3_a3ca_a_7a_aa_3a_3a3,s2a8s2s4m6d3s2a8s3a7m9d2a7m72m120d2
6:aa_aa__a_aa_a_3a_3a_aa_3a_3a_ab_3a_4,s1a4s2s1a9a7m10s3d2m18s1d3d3d2m24d2m10a9
6:a_a_a_3a_13a5__aa_a_aa_a5,m15a11m2s3m6s1d2d3a6a7d3s1s1s1d2m6a5
6:_ac_a_aa__a__a__b_ca_3a_a_6a__a_aa_,a14a7m18a5s1d2s2d2m120m4a7d3d2m12s2
6:_aa_3aa_aa_a_3a__ab__b__a3_10a3,d3m54s1d2s2a6m5a6s3s1m10d3a7d2d3m120a4
6:__aa__aa_a_aa_a__a__b_aa_4a_a_3a_3a3_,s1m6a6a7a5m15s1m18d2d3s1a7a7m18s1m40s4
6:_4a__aa_aa__b_3aa_a_3a_3aab_a_4aa_a,s4a6s2m54d2m30d3d2a9a8m5a7s1m30m6d2s1
6:_3a_5b_4ab_aa_c_a3_a__aa_3a__ab_,s2a7s1m20s2a7d3m360m12m32d2s1a7d2a12
6:a5_a__a_7aa_aa_a_3a__a__aa_a__aa_,d2s2s2a9m24d2m20s4a7d3d2s2m48a6m24d2a7
6:_aa_a_13a_a6_a_3a__a4_bb,d2a8m25m15s1m6d3s1a9d3s1a16s1m6s4a5
6:_a_aa_4a_6a_3b_ba_3a_4aa_baa_aa_,d3m5s1s1a5s3d2d3m24m2s1m24a5a7s1a10m6
6:aab_aa_4a_5a__aa__b_3a3__a_3a__aa_,m8m6a8m5d3a7a7m15d2d2a9m36s3s2s1s4s1
6:a__b__aa_a_b_a__bb_aa__aa_3ab_4a__a_,s3s2a7s2m4m6d2m24m180d3a9d2a12a20
6:aa__a_9a_4a_3abb_a3_aa__aa_a3,m60d3s1m20a12d3s4a9d3a8m6s2a6s1d3m4
6:aa_a_a_4a_4aa_a3_a_3a_aa_3a_a_aa_a_,a8m10m45s2s3a8s4s2d2s1a7m10d2d2m18a9d2
6:a_aa_11a3_a3_a_3a_aa__a_3a5,a6a8m5s2d3d3s2m4a8d3a7m9d3m20m6s1s3
6:_aa__a_6a_11ab_aa_a_aa_a7,a10s3s2a6s2m4m6d2a8m8s1s3d2a7d2m75d2
6:a_baa__aa_a_3a_bbaa__ab_11a_aa_,s1m75m12d2a8a13a7d3a8m24s4s1m192d3m15
6:_ab_b__a_3aa_a_3a_b3a_11a3_a,m12s3a14a10m60a6d3m25a12s1m10s2d2m6d3
6:__aa_a_12a__a__ca3_3aa_a4_ab,m48s1d2m5a6m2d2m10s2a8d3s2a14a4d2s1
