6:_aa__a_3a__a_7a_aba_a_a_3a__a_a5,m20s3d2s2d3d2a6a9a7a9d2s1m12m48s2s2m4
6:__b_3a_4bab_aa_ab_c_aa_a_a_6a__a,a11m48m30d2d3s1a11s3m6s2m45s1d3d2a7
6:a__a_9a_4a_3a_aa_aa__aa_a5_aa_,m12a8s3s4m6s1d2s3m4m6a9d2m12a5d2s1d2a8
6:a_11a_3aa_3a__ab_aa_aab__b__ca_,m72s2a5m12m6a10s1s3m6a7s1a5d3s1m120d3
6:__aa_aba_a_a_3a__a_a__b__a__a_7aa_aa,d2s1a6m12s3a5a7s2m12s2d2d2a9m6m20s2d3
6:aab_12b__b_a__a_3a_a5_a__a3,a7m90a7d2s4s1s3a11m6m12s2d2a5m75d3d3
6:__aa_5a__a__a__a_3ab_b__abab__a_3a_a,m120m4d2a9m36a14s3d2a7s2s2d3m30s1a9d2
6:aa_8a_a_3a_3aa__a_3a_3a3_a3baa,a9m15d3d2a5d2m60s3s2m6d2s1a7s2a7m6s2
6:cba_12a5_b__a_3a_3a_aa__aa_,a18m6s3d3s3m60d2a6m12m6a7d2s4d2a8s2
6:_aa_a_3a_4b_3aa_aab_3a_4aa_3a__a3,s2m6m15d2s2a7m6m10d2a8d3m24s1a9a7s2s1
6:aa_a_9a__a_3a_a__a_3a__a_a5baa,a7d3s3a8m6a6s3d3m90m6s3s1s4m12m30d3a6
6:_a_a_10a__a_3aaba__a_3a7_aa_,m6d3d2a9s4s4s1s1d2s2m24d3m6a9m36a8a6
6:aa_3a_4a_3a__a_aa_ab_aa__a_6a__baa,m6s3s2a8d3s1a10a9s2m6a7d2m12d3d2s1m6
6:b__aa_a__a_3a__aa_a_3a_3a__abba_3a__a,m12m18a9a6m24s2d3a13d2d2s1s2s1d2a6m12
6:aab__a_16aa_aa_a4_aa__a4_,d2s3a7m12s2s4m30d2m6m12d3a9d3s4a7a12s2
6:__aa_a_aa_a_8aab_aa__a__a_3a_aa_aa_,s1d3d3a5s2m6s3d2d2a9a6a7m6s2m40m6s2
6:a3b_b_3a_4a__ac_b_3a_6a__aa_aa_,a11s1a9m30d3a7m36s1m30d2s2m6a15s1m6
6:a__a_6a__aa_a__aa__aa_a__a_3a__aa_aab,d2d3s1a6a5s3m30m6a8m6s1d2m24s1m12s1a8
6:aa_a_10a_a__b__a_a_3a__a_aa_ba_aa__,d2s1a8d2s2m12d2d3s4s2a9s3m30m6m12a6m6a6
6:aababaa__a_3a3_4a_3a_3a_9a_aa,m6a6a8d2a6d2m6s2m5s1a9d3s2m36s2d3s1
6:_3a_3a_aa_a_6a__a3b__b__a__a__a_a3,m8a8m4s4d3a9s2s2a9a6s1d2m30d2m6m60s2
6:_a__a_3aa_4b_a_aa_a_a_3a_a3_3aac_a,m90s2d3s3m40a9m3a18d2d2m60s1d2s1a5
6:aab_a_3a_a_3a_3ab_aa_a__a_5a_3a_aa_,a6d2d2m6s1s4m6s1a8a8s1a7s1m12d2d2m20
6:_aa_a4_a_8aab__a__a_3a_3a_a3b_,s3s3s2s2d3a12m30m6m10m72a8m6d2a7s2a8
6:aa_a_3a__a_11aa_aa__baa_a3_aa_a_,a7s2s1a8d2m6m6m20d2m24s1a8d3s2s3a5d3
6:_a_10a_a_a_3a_3ba3_aa_b_c_3aa__,s2d3a8m12d2s1d2d3s4m24a9m48a7d3s1m6a11
6:aac_b__b_a_3aa_b__a_4a_a3_10a_,d2d2a9m48m30s2s2d2d2a11a9a9m10s2s1m72
6:aa__a_3a_a_b_a_ba4_3a_6a_b_3a_a_,d3s1s1s1d2a9a8a8m6s1a6m24m30m24m6s1
6:a_aa_aba_3a_5b_5a_3aa_a_4a_3baa,s1a6m12m6d3a7a12m6d2d2m12s1d3s1d2s2a8
6:a_a_10a_a3_ab_a_3a__aa__a_3a5,s1a7d2s3d3s4m6m12a9s1d2m40a7a6s1d2m8
6:a_3a_3a_a_a_a_3a_aa__b_3bba_aa_3b_3,s2d2d3s1m12a6d3m40a8m18d2s2a7a6m30s1
6:_aa_10aa_aa_aa_b_3a_3a_3a_3acaa,m30d3s2a9d2m30a7d3d2s2a8m15m6a6s3s1d2
6:aa_aa_3a__a__a_3a_a__a__a_6a__a3baa,s1m12d3a7m72d2s3s1a7a9s1m12s2d2a15m4d2
6:a_ba_aa_3b_a__ba4_5a_a_a_a3__a__,d2m30m40s3d2a10d3d2a13m240m4a6s1s1
6:a__b_a_3a_10aa_3b__abab_a_3caa,d3s3a11a13m6a10s1m6s1d3s4m30m48a9d3
6:a__a_5a__a__aa_aa_aa_b_3aa_a4_3a_3,m8d2s4s2m6s1d3a7m6s2a8s1m12a10d2a7d3
6:aab_a_aa_4a_3a3__aa__a_aa_3a_6a_a,d3s3s2d2m24s4a5m12m30a7d2d3s1s1m12a9a6
6:_aa_a_3a_4aa_a3_baa__a_6a_aa__b_3,s1s2d3a13m6s2a9m4a6d3s3m6s1m72d2a7d3
6:_a_b__abacab_adb_5a__a_11a_,a18s1m6a5m6d2s1m60a17s2a8s1m12
6:a_21a3__aa_a3baa_aabaa,s2d3d2d2a7s4s3m48m4m5m12s1a7m90a7s1a7
6:aab_a_10a_a4_a_3a__aa__a_3a__aa_,m12d3a6s3m12a7s1m6a8s1a5s1m12m10d3s2a5d3
6:_a__aa_4a_4a_3b_aba__aa_ab_aa_3a3,a13m6m24s1d2s2a5d2a5d2s3a8s3m60m6
6:ba3__aa_3aa_3a_5a_3a_4b_3b__baa,m20m54a7d2s2a8m24a6m12a9s2s2s3d2m6s1
6:a_11aa_a3_aa__a_3a__aa_a_3a__baa,m12m5m30d2a9d2a7d2m6a9s3s1s1m12s4d2a9s2
6:ababa_a_10a_a_3a_3a__aa__a_3a4,d2m10a5s1m36a7m20a8s1s1a6s3s2d3m30d2d3
6:a3_3a_3a_9a5_aa_a5__a_3a_,s3a9m30s2s3d3d2a6d2m6d2s1s3a9m48a6m6
6:__a_4a_a3_3a_3aa_aa_a_3a3__a3baa,d3s3m30a9s2m24a8m90m6s3s1m144d2a6a8
6:_ba__aa_3a_5a_3ab__aa_ba_3a_3a4_,d2m48a7m24s4s2s1s2d3a5d2m10a6a9m72d2
6:aa_a_20a__ab_a4_a4baa,a6d2s3s2m72a6s1m6m4d2m40s2a5m6d2a8s3
6:aab_3a_3a3_a__aa_4a_3aa_3a_3aa_a_a,m12m12a6m12s1d2s1d2a6s2s3a10d2m18d2s1a6
6:aaba_a_4a_a_3a_aa_aa_3a_aa_b_a_3a_3,d2d2s4m12a9a5a7m60m6a7s2d3s1m30s2d2
6:aa_3a_6a_5a_3a__a_aa_a_a_3a_aabaa,s1m12d2a6s2m12m6d3s3s2m30d2a5m12a8s2d3a7
6:a_aa_11a3bc_a_3a_aa__a_3a__aa__,s1a9m6d2m6s1a5d2s2a7s2d2a5m6m20s2m48
6:aa__aa_a4__a_3aa_a_ba_9aa_a4,m6a10m90m10s1a19m6s3a7d2d3s2d2s3a5
6:acaba_a_a_3a_3acb__b_6a_4b__a_,m36m60s2a10d2a14s1a11m90m40a7s2s1
6:abba_13a_aa__aa_b_aa__a_3a_a3,a8a11m6m720d2s1m12a8a5s3m6d2s2s1d3s1
6:a_a_3aa__ab_10b_ba_c_a_aa__aa_a_,a12m12a7s1m60a6m300m6a7d3s1d2s1d2s1
6:ba__a_3aa_a_3a_aa__aa_c_11bb_b,m120a5d3s3a14m6m80s4d3s3m60s1d2a7a9
6:_aa_a3_a_6a__aba_a_3a__a_3aa__a4,d2d2a5a7a9d2s4d2m120m12s2a8s3m36m6s1
6:ba_4a_3a_9a5_aa_a5__aa_a_,m18m60m60s3a7s2d2d3s1m12a5s3a5m120d2a9
6:_aa_3a_4aa_3aa_a6_3a_4a_4aa_b,a5s1a6s2s3d3s1d2m6d2a9m48m15a7m6s2d3
6:_3a_5a_3a_3a__bab__b__ba6baa,s2s1a7m18d3m6d2a9s4s1d3a9m45m24a14
6:_a_13a_10a5_aa_baca4,a7s2m12m60a6m5s1s1a5d3d3d2d2a6s1m90s1
6:a__b__b__aa_3a__ab_3a_5aa_a3__a__aa,m12a7d2s3s1m12a7a15s2m6s1m6d3m150s2a5
6:_3a_3aba__a_6a__b_aa_aa__a_3a__aab_,d2d2s2d2s4a8m15s2a12s3s4d2m6a7a6m12m12
6:a3_a_3a_5a_3ba7__a_3a_a_3a_3,m90s4d2a7m6s2d2s2s2a6d2s1a7m4a9m20d2
6:_a_a_3a__a_a_5a_3a5_aa_b_a_b_3aa,a5m5s3a9s3d2a20s1d2m12m18s1m24d2a8d2
6:aa_3a_4a_4a_3b__a3_aa__aa__c_3b_3,m6s1d3a8s3m15d2s1s1d3d2m24m6a5a7s2a8
6:__aa_12aa__b__ba_aa__baa_aa__aa__,s1m12m6m40a13d3a7d2a7d3s2s2m12s3d2d3a11
6:_aa_a_5a_4a_3a__a4_aa_ab_a_a__b_a,d2a9a11m24d3m10s4s1m12s1s1d2d2a8m60a5
