6:__aa_a__a_3a_11bab__a_3a_a4_aa_,m6d3a9m6m24s1m12s2s3d2a9d3a5a6s1m2d2s1
6:a_a_6a_3a_3a__a6_3a_4aa_a5,m72m6d2s3a7s2m12a7s3s1d3d2m30m6a10a7s2
6:_a_7a__b_9a_b__aa_a5b_aa_a_,d2m12s3d2a7m40a9a8m6d3s1s1s1s4m20a8d2
6:baa_a_3a_9a_aa_c_a4_3a_3a3__,a12d3a6a9s1s1m72m6s3d2d2s2m40a6s2m12
6:a_a_3a__a_a_3a_3aa__a_3a__a3__a__abaa,a7s2a5d2s4s1m15a9a10s3m12d3m6m30s3a5m24
6:a_aa_7a__a__ba3_b__baa__a__a_3a_a_,s2d3m6a11a7d2a11m12s1s1m6d3m40s4s2a5
6:_3a__a_aa_aa_a_aa_aa_3a_3a__a_5a5,d3m15m24a6s2a5m2s1d3s2a8m36a9d2s3d3s2
6:a3_14a_3a_a_aa_b_a5_a5,m12a9m20d2m30a7s2s1s1m30m4a5s1a5s2d3
6:aa__a_6a_3ba_ba3_3a_3a__b_a__b__a,a11s1m12d3d3a8d3s1s2m4s1a9d3m48a7m18
6:aa_12a_3a__aa__aa_a_3a_3aabcaa,s4s1a9a9s1d2d3m8a9m12d2m6m60a9d2d3s1
6:__aa_3a_3a3_9bac_aa_aa_a_3a__a_,m6m36a7s4m24m6s1a6d2a7d2s1s2s3a6a7m36
6:__aa__aa_a_a4_aa_aa_a_4a_11aab,a8d3s3s4a9m20d2m120d2m12a8m15a6s2s2d2s1
6:a4_aa_3a_9a__ab_3a__a_aa__aa_aa,d3a7s2s2s1d3d3m6a5s1m10m30m12d2s3a5a5
6:aa_aa_4a_4aa_3a_4aa_a_3a_4c__baa,d2s2s1d3a6s2a8s3a5d2m40m36m6m10d3s2a9
6:ba3__a_3a_3a__aacaa_10b_a5,m1920s1d2s4a7m6m72a5s2d3a7s4m40d3d3
6:a5__b_9ba4__b_3aa_a_3caa,s1m64m3s4d2a9m60d2a7s4s1a22d2d3
6:_aa_aa_a_aa_a__aa_aba_4a_3a_a_6a__a,a6m6s3s2m15d2a5d2s1s1a6d3m120m6s3d2a8
6:_a3__b__c_3a__aab__a_5a_3aa_3c_a_,m18s1s1a8d3s1s3m6m120s1m288a7m12a6a6
6:aa_3a_3a__aa_3aa_a_aa_aa_4a_4b__a3,s2a5m24a7a7s2s1d3a7s2m6m6m20s3m12d2d2
6:a__a_6b_a_10baba_b__b_a_aa_aa_,m12s1d3d3s3a7a11s2m18s2s1m6a5a6d2m120
6:_4a_3a_a_3a_5a_3babab__b__a_a_3a__,a7m6s1a6m20d3a9a6m12s1m6d3m6s2d3s4s1d2
6:_a_b_4a_3a_3a4ca_5a_3aa__b__aa_,m240m18d2a9m6d2d2a11d3s2s3m12a9s3a8s4
6:__a3_aa_ba_a_3a__c__a_7aa_a__b__a_,m15m72d3s3s3s2a5m12d3a9m144a6s3d2d3a7
6:aa_b__a_a_3a_4b__a__a_3a__ab__b_3aa__,s1m6a8m6m48s1a6m6a9s1a7d2d2s1d3m5s1
6:_b_4a_6a3_3a_3aa__a__a3_ac_baa,s3m720a12d2m6d2m10m40s2a8d3d2s2a8s1
6:_3a__a_aa_3a__a__aab_a3_a_7a6,m10d2m36s1d3s4m60a7d3a9s3s4d3a10a13m6
6:aab_a_4a_13baba3b_aa__a_aa_,m72s2d2a6a6m90a6s2s3m18d3a9s2s1m12d3
6:a_c__a_3a_3a_3a__a__a3ca4_9a,s3a7m72a7s2m6s1d2a7m72a7d3d3s2m24s4
6:__aa_a3_b_7a_ac_b__a__a__aa__a__a__,a9s1d3m12s4s1a11d3m20m12d2m30a8d2a13s4
6:aa_11a_3b__aa__a_3a__aa__a4baa,d3m90s1s1s2m12m12d2a9m6a7d3a15a9m6d2s1
6:a_a_a_12a_3ab_aa__a_a5_a5,d2m12a7s2a6a6m3s3d3a8m48d3s1m480s1d3
6:aa_10a__a_9aabababa_b_aa_a_,d2s1d2d3a8a6s2m6a7m24m90m6m8s4s2a9
6:__a_6a_4a__a__b_aa_ab_3a_a5_a3,d2m240d2s4a7s3m6d3a6m45s2a6s3a12m6s1
6:baa_a_17aa_aa_a4__aa_abb_,m90d2d2s3d2s1s1s3d3m12a9a5a7a7m40m72
6:__aa_a__a_3a_4a_3abab__a_6a__aa_aa_,s2m30m6a6m3s1a9d2s3s2a8s2d3m15d2a6m12d3
6:__aa_a_4aa_a_4a__ab_baa_aa_3aa_3ab,m72d3d2s1s2m32a7m60s3d2a14d2s1a9m10
6:__a_4aa_a__a_6a__b_aa_a_a_a_3bae_,d3m6d3m32m720s2a5a12s1s2d3d2a7m15s3
6:a3_aa_3a_3a_a_aa__aa_aa__a_3a_5a__b,s2s3d3s1d2a5s1d3a8m12a6d2m120d3a5m10m24
6:_aa_a_a__a_3a_4a_3baa_aa_ab__a_4aa__,d2s1m15m48d2s4a9m12a9m12d2a6s4s1d2s3a7
6:ab__aa__a_11a7__aa__a_3a4,m30m60m6d2d3s1a5m6s1a8d2s1a5m36a7s3
6:_aba_3a_6a_4a_aba_3a_3baa_a_aa_a,m60s1m8d2s1a7a4s1d3a5a9d2s2m60d3m6
6:__a_13a_3a_3a_aaba3_3a__aabaa,m4m6d3s2s3s3a10a8m6a5a5s1a8m20d2s4d2m12
6:a_4a_6a_5a__a__a3__a_aabacaa_a_,d2a11s2m360a5a6s4d3s2m12d3m10m120d2a8s1
6:a_10a_4a_3a__b_baac_aa_3b__a3,s1m6a5a8a7m36a6s1m6m36d2s1a5d3s3m120
6:a3_a_10a_aba7_a_3a__a_3a_3,m8d2a6s1a8a5d2m12m6s3s1d3m30a5d2d2s2
6:_a_3a_3a4_a__b__c_11b__ba_aa__,a15m12d3a9a8d2s1m6a5s3d2m6m6m20s1s3s1
6:a_3a_4b_aa_3aa_b__aa_3b_3a_3aa_a3,a11s2s3a7a7d3a10m72d2s1s1m6d3s3m120m15
6:aa_7a_ba__a_3a_aa_aa__a_4a_b_a4,s2m18s1a6s3m30a10m6a7m6d2s2m6s3a13a5
6:a_a_3a__ab_3a_3ab_a_3a__a_a_3a_3aa_b,a9s1s2d3a6s3m6s4d2m12m12d2d2m40s4a7a12
6:a_c_aa_3a_a__a_3aa_3a_3ba_b__a5_,s1a11m144s2a7d3s3a11m6m12s4d2a9m90d2
6:a_a3_aa_4a_4c_a__a_3aa_a_4aa__aa__,s3m12m6m12s1d2d2d2a6a9d3a9d2s1a7m8s3
6:a_aa_11a_a_3a_4aa_a_aa__a_aa_baa,m6d3m20m12s3s3a8a6m12s1d3a8d3m10a9d2s1s2
6:a_12aa_a_3a__a5_bacaa_3a__a,m48d3a14s3m4m6d3a10s1s1s2s1a9d3m18a5
6:a_3a_6a_3a_a5_b__a_aa_a_3a_3a3,s1a7m6s4d2s2m10s3d3a9a8d2s2m6m96m6a6
